feature,importance,importance_percent
market_value_1y_ago_eur,0.1533953090725692,15.33953090725692
days_since_previous_valuation,0.12300898071216775,12.300898071216775
xg_chain,0.10282535177841211,10.282535177841211
age,0.09182733501191015,9.182733501191015
previous_market_value_eur,0.09144461695638341,9.144461695638341
xg_buildup,0.05734914052803179,5.7349140528031795
npg,0.04260245223849479,4.260245223849479
minutes,0.04220822245322215,4.220822245322215
assists,0.028189821831780964,2.8189821831780963
xa,0.02627901039292715,2.627901039292715
appearances,0.022870332106437682,2.2870332106437683
npxg,0.022213194409866507,2.2213194409866506
assists_per_90,0.021439057486699366,2.1439057486699364
shots,0.021096391578624925,2.1096391578624925
goals_per_90,0.020525009149426652,2.0525009149426654
goals,0.02004195570454343,2.004195570454343
xg,0.019897865527459972,1.9897865527459973
xa_per_90,0.019629642466786744,1.9629642466786743
shots_per_90,0.018965884913410197,1.8965884913410198
key_passes_per_90,0.01746124147281557,1.746124147281557
key_passes,0.016708146529930936,1.6708146529930936
xg_per_90,0.013867860105492867,1.3867860105492866
transfermarkt_position_Midfield,0.00266884184387616,0.26688418438761596
transfermarkt_position_Attack,0.0016360793869274809,0.1636079386927481
transfermarkt_position_Defender,0.0015184011178336967,0.15184011178336967
transfermarkt_position_Goalkeeper,0.00032985522396827144,0.032985522396827144
