model,max_depth,max_features,min_samples_leaf,n_estimators,cv_final_mae,cv_final_rmse,cv_final_r2,cv_change_mae,cv_change_rmse,cv_change_r2,learning_rate,subsample
Random Forest,18.0,0.7,4,600,1917699.216329574,3176888.311295588,0.9754423309703503,1917699.2163295737,3176888.311295588,0.16772285161432046,,
Random Forest,,0.7,4,600,1918779.7730045766,3172809.838734446,0.9754841124348244,1918779.7730045766,3172809.838734446,0.1705615523756915,,
Random Forest,18.0,0.7,4,300,1920399.6602740677,3187003.657545621,0.9752852740988591,1920399.6602740677,3187003.657545621,0.16174239504557986,,
Random Forest,,0.7,4,300,1924217.213981907,3183265.2938312963,0.9753203219544679,1924217.213981907,3183265.2938312963,0.16431687469593068,,
Random Forest,18.0,0.7,2,300,1924244.9341709611,3201206.6743096136,0.9750046871301524,1924244.9341709611,3201206.6743096136,0.14979409030988874,,
Random Forest,18.0,0.7,2,600,1926151.706357219,3198222.3254859596,0.9750045180702216,1926151.706357219,3198222.325485959,0.15268220273033076,,
Random Forest,10.0,0.7,4,300,1926479.2641199306,3197921.089401873,0.9750218369804612,1926507.2801241537,3197923.1453890144,0.15822631489091732,,
Random Forest,,0.7,2,600,1926583.9217120223,3193970.69034558,0.9750691838915163,1926583.9217120223,3193970.690345581,0.15655615320863134,,
Random Forest,18.0,1.0,4,600,1926688.4099248163,3192168.877819033,0.9752946976755545,1926688.4099248163,3192168.877819033,0.1601757336423676,,
Random Forest,10.0,0.7,4,600,1927086.1614482512,3196867.7851983495,0.9750386066410671,1927111.3824596659,3196869.617665874,0.15974551352040392,,
Random Forest,,1.0,4,600,1927672.0816867806,3192862.5175715457,0.9752850424179629,1927672.0816867806,3192862.5175715457,0.15978044473941777,,
Random Forest,10.0,1.0,4,600,1931136.0607407726,3209310.112171922,0.9749489095301908,1931162.514722381,3209311.997245045,0.15359888735879157,,
Random Forest,18.0,1.0,4,300,1931845.8491830297,3207165.1990778185,0.975079134576163,1931845.8491830295,3207165.1990778185,0.15188841518012242,,
Random Forest,,0.7,2,300,1933070.0970712758,3208899.5893226177,0.9748474773357332,1933070.0970712753,3208899.5893226173,0.14778515046918894,,
Random Forest,,1.0,4,300,1933954.5371729974,3208371.862846153,0.9750539737083151,1933954.5371729974,3208371.862846153,0.15133787068642446,,
Random Forest,10.0,1.0,4,300,1935818.1332115054,3223012.9677460804,0.974755753870394,1935842.5884305213,3223014.683981573,0.14597243699876242,,
Random Forest,10.0,0.7,2,300,1935895.8062989444,3233368.3823601045,0.9743996655319234,1935933.6348178487,3233371.2545592147,0.1371687436422372,,
Random Forest,10.0,0.7,2,600,1937181.1656651003,3229654.3427303345,0.9744121143509173,1937217.3442329008,3229657.097972349,0.13987269284682977,,
Random Forest,18.0,1.0,2,600,1937609.6020415418,3232904.56907748,0.9744770288450688,1937609.6020415418,3232904.56907748,0.13518424987425956,,
Random Forest,,1.0,2,600,1939368.476821509,3236612.6284559504,0.9744143985246764,1939368.476821509,3236612.62845595,0.13308505104942606,,
Random Forest,10.0,1.0,2,600,1947672.065481592,3264076.2221207856,0.9738903005960822,1947705.445411599,3264078.702815864,0.12126214344024588,,
Random Forest,18.0,1.0,2,300,1949949.309789419,3260420.471548592,0.9740640066119685,1949949.309789419,3260420.471548592,0.11927309241230681,,
Random Forest,,1.0,2,300,1952368.5168050118,3267968.3989058263,0.9739330914538553,1952368.5168050115,3267968.3989058263,0.11492325303967015,,
Random Forest,10.0,0.7,1,600,1953803.2072483338,3256342.6865845136,0.9739702011953217,1953848.7176620748,3256346.244406359,0.12798005567281678,,
Random Forest,10.0,0.7,1,300,1953910.7373228127,3260155.3029088844,0.9738746941023324,1953955.9522501237,3260158.849080252,0.1263810330387782,,
Random Forest,18.0,0.7,1,600,1955175.0167884715,3229541.008341294,0.9744443356863263,1955175.0167884717,3229541.0083412933,0.13835630307011823,,
Random Forest,10.0,1.0,2,300,1958611.5464153097,3288266.4102314096,0.9735316673808362,1958643.2238376283,3288268.721808832,0.10647550634430025,,
Random Forest,18.0,0.7,1,300,1960113.6774001766,3239838.1436074986,0.9743334063951786,1960113.6774001766,3239838.1436074986,0.13132646774062892,,
Random Forest,,0.7,1,600,1962509.400573551,3238350.0510843233,0.9743771102691846,1962509.400573551,3238350.0510843233,0.13433908113767956,,
Random Forest,10.0,1.0,1,600,1964961.3095935553,3294883.1075843484,0.9733293222209802,1965001.685724441,3294886.1830856143,0.10459984704976118,,
Random Forest,,0.7,1,300,1966826.3740021556,3252848.1759442934,0.9741467021975879,1966826.3740021556,3252848.1759442934,0.1260914777174282,,
Random Forest,18.0,1.0,1,600,1971227.4101569643,3279276.58228418,0.9736894780243323,1971227.4101569643,3279276.58228418,0.11020735873600158,,
Random Forest,,1.0,1,600,1975030.0455604612,3276831.0054843235,0.9737397794152781,1975030.0455604615,3276831.0054843235,0.11175657336558938,,
Random Forest,10.0,1.0,1,300,1976007.653903945,3319571.56380225,0.9729106707937868,1976046.8378212603,3319574.5200505652,0.08900042854898527,,
Random Forest,18.0,1.0,1,300,1983001.1334054563,3305215.8764744233,0.9732331412167191,1983001.1334054563,3305215.8764744233,0.09515835051895268,,
Random Forest,,1.0,1,300,1984637.4604562914,3303163.8183888267,0.9733008321744432,1984637.4604562912,3303163.818388827,0.09596768870386278,,
Gradient Boosting,3.0,,5,300,1939392.026455221,3232574.1000388903,0.9743466874852101,1940259.077962242,3232850.721589699,0.13572421098156653,0.03,1.0
Gradient Boosting,3.0,,2,300,1941909.79853708,3379702.0090437457,0.9712434406890438,1942736.5658638382,3379957.9960308336,0.04250369976338205,0.03,1.0
Gradient Boosting,3.0,,2,300,1942934.8997012766,3296342.2186105903,0.9729757378672298,1943682.5534798934,3296527.924718412,0.0970128546505948,0.03,0.8
Gradient Boosting,3.0,,5,150,1944439.937583914,3248555.5107741393,0.9741209521227431,1945210.8983275082,3248784.3822123404,0.12844039566113433,0.06,1.0
Gradient Boosting,3.0,,5,150,1953253.3730168883,3237895.1065602824,0.9741665376318737,1954118.1122058537,3238143.415953157,0.1377356159081511,0.06,0.8
Gradient Boosting,3.0,,2,150,1954013.4045729681,3417612.2818569657,0.9705654303677038,1954925.720488361,3417892.550316718,0.013353376549789076,0.06,1.0
Gradient Boosting,3.0,,2,150,1956007.8457581112,3426334.3194431844,0.9705905298481047,1956746.86453276,3426487.419597747,0.01823194451309192,0.03,1.0
Gradient Boosting,3.0,,5,300,1956778.7025799535,3225511.667527326,0.9745514632158033,1957621.633889918,3225750.914862321,0.14559124577509533,0.03,0.8
Gradient Boosting,3.0,,5,300,1960168.4081443225,3244302.893816972,0.9740613762074779,1960687.4618990237,3244426.7549172402,0.12643736249571833,0.06,1.0
Gradient Boosting,3.0,,5,150,1961094.0040464469,3280787.3709139153,0.9735483523922001,1961805.5689218782,3280936.6128910077,0.11763101420254207,0.03,1.0
Gradient Boosting,3.0,,2,150,1966612.0699432127,3363987.154808111,0.9719949217830562,1967270.6312322116,3364111.9343649796,0.06525053209507792,0.03,0.8
Gradient Boosting,3.0,,5,300,1968089.8205388568,3248468.24293131,0.9738624070693613,1968792.0725967914,3248674.0018871143,0.1277742266027275,0.06,0.8
Gradient Boosting,3.0,,2,300,1968737.4443120006,3401879.9951405865,0.9706803475908186,1969368.4487762637,3402054.941768648,0.022397650808631726,0.06,1.0
Gradient Boosting,3.0,,2,150,1973335.7718962159,3441403.9278991367,0.9703050424246992,1974201.734363012,3441649.854815789,0.006092740148505878,0.06,0.8
Gradient Boosting,3.0,,2,300,1974231.035850044,3425952.3510082536,0.9704311099291868,1974829.284381765,3426109.6937505095,0.011018598761813844,0.06,0.8
Gradient Boosting,2.0,,5,300,1979503.421455553,3283378.829077266,0.9735231080335939,1980642.3480504395,3283770.0874678097,0.11539666025825364,0.03,1.0
Gradient Boosting,3.0,,5,150,1982799.0895618123,3296871.0569797475,0.9733600665015175,1983395.2842753113,3296988.221696408,0.11093229861205618,0.03,0.8
Gradient Boosting,2.0,,5,300,1984311.2547712016,3283365.585685637,0.9734412342069539,1985608.9072449503,3283901.9406476193,0.10866688396231365,0.06,1.0
Gradient Boosting,2.0,,5,150,1984407.904277604,3296236.020283164,0.9733818888292819,1985590.1446351616,3296624.852054805,0.10667640815169732,0.06,1.0
Gradient Boosting,2.0,,5,300,1998525.3751020322,3325257.5049005374,0.9726245994936792,1999960.3157499658,3325843.08307053,0.08298068483010779,0.06,0.8
Gradient Boosting,2.0,,2,300,2002302.0709111653,3435266.8372020274,0.970247323265992,2003674.6647886795,3435867.0117539023,0.007213102400477826,0.06,1.0
Gradient Boosting,2.0,,2,300,2002765.7558220609,3421541.173902611,0.97088282256644,2003997.7878579916,3421943.571278607,0.02348396262123642,0.03,0.8
Gradient Boosting,2.0,,2,150,2002893.9848413377,3451801.604589155,0.9701810992613407,2004231.4713337328,3452288.9066888937,0.0057218025279313816,0.06,1.0
Gradient Boosting,2.0,,5,300,2003896.0171643535,3347970.4505472486,0.9726109209590894,2005062.4239139154,3348313.822954724,0.07536053644003526,0.03,0.8
Gradient Boosting,2.0,,2,300,2005463.5744704793,3444163.957049521,0.9703894636418479,2006753.4368564829,3444615.7794487793,0.014713629853390753,0.03,1.0
Gradient Boosting,2.0,,5,150,2007587.6760368135,3390307.8047841066,0.9717680475517226,2008234.1022442046,3390444.951240115,0.0597026627242947,0.03,1.0
Gradient Boosting,2.0,,5,150,2008045.395070209,3361601.8445419446,0.9720884658590262,2009239.8914226496,3361960.991603958,0.06720172915705347,0.06,0.8
